Q12913 P46087
P03372 P50454
P14138 P01137
Q15198 Q6FHJ7
O14763 Q14790
Q9NUX5 Q86YZ3
Q8NFA0 Q0VDF9
Q96DN2 P20036
Q99442 Q8N5I3
P49750 P62136
Q96HY6 O00411
Q99608 P49207
Q6UY14 Q9NRQ2
Q9Y262 P62249
P19320 Q16658
Q9NRM6 P55082
P02751 P46779
P16410 P33681
Q16827 O15031
Q8WUK0 Q07021
O75838 Q9Y5Q8
Q9UJ14 Q9BV10
P14210 P05121
Q07020 Q02878
Q5T700 O14967
O95985 P28799
O75489 O75439
Q96PL5 Q70CQ2
Q93096 Q9Y262
P03372 Q9Y3B9
P46779 Q07021
Q5T700 Q969N2
Q9UHD9 P27658
P46776 Q9H9Y2
Q6UY14 Q9Y2K5
Q14627 Q5T160
Q13936 Q12805
Q9UBF9 P05067
P16298 P32418
Q9NRS4 Q9Y6I9
P11686 Q9Y5Y6
Q96HE8 Q6PI78
P27694 Q9H790
P10747 P08575
P11279 Q96S66
Q12888 Q6NT76
Q96PE5 Q9HAV4
Q9ULW3 Q9Y3B7
O75390 P82933
Q7L2J0 Q53GS9
Q9UMR7 Q8IVU1
P43897 Q13472
Q9Y2I6 Q9UGM3
O43324 P54136
Q9BSH4 P56181
P11912 Q13635
P57789 P62136
P48634 Q9Y520
Q8NA58 O75973
Q2HXU8 Q9UIW2
Q9H4L4 P15880
Q9NWD8 Q8N2H4
Q9UBX2 P62244
Q8NA77 P28799
Q76LX8 O60245
P03372 Q92896
O94782 Q9HBL8
Q96RU2 P54578
Q16827 Q15013
Q13115 Q9NZ01
Q92570 Q12805
Q96C01 Q12887
Q8WWU7 P02788
Q9ULY5 Q9UJ14
O75390 Q9NVS2
P03372 P22695
O75807 Q96JG8
Q9BSE2 O15393
P17813 Q9Y676
O14561 Q96GC5
P19320 Q9UKD2
Q5SQ64 Q9UHQ9
Q6UXC1 Q96H22
Q969P0 Q9Y262
Q9BVS5 Q8TCS8
Q5BVD1 Q9NUQ2
O15547 Q14624
P27487 Q8N9N7
Q9BSE2 P15151
Q9UQV4 P98172
O00180 Q92604
Q8TB96 Q5UIP0
P02675 Q15459
Q14108 P62136
Q6GTX8 P05067
Q96RD7 Q96GC9
P12830 O95372
O15205 P39656
P00750 P27797
Q01860 O43242
Q5T2D2 Q6PJF5
Q4U2R6 Q6P087
Q9Y3A5 P22692
Q9NUM4 Q9UQN3
P09110 P24752
Q01860 Q9Y4E8
Q8WTU2 Q07973
Q9NYB0 O60828
Q9H6X2 Q86VZ4
P61927 Q96A35
Q8N878 P20930
P61927 Q8N5N7
Q15046 Q9P2J5
P43630 Q92990
Q9NUX5 P01876
Q9Y3B7 O43181
O15503 Q15904
Q9Y5T5 O15205
Q96BP2 P82664
O95602 P32969
P14138 P78357
Q8WUK0 O43592
P19388 P52657
Q9NX40 P80723
Q6IN84 P30038
Q14512 Q8WTT2
Q9UKX5 P18084
Q9Y5X9 Q9NRB3
Q96AG3 Q86UE4
O15393 P43490
Q96CS3 Q8IY17
A0PK05 Q9H0Q3
Q7L2J0 P56134
Q15646 Q13601
Q92752 P23471
P08697 P02671
O43291 Q9BVT8
P04150 Q5SRE5
Q9UNQ2 O60524
Q9UK85 Q6ZT21
P52849 O14732
Q9UHD9 Q9Y5K3
Q12931 Q6PI48
P61769 O95944
P46379 P20810
Q9BQ70 P12694
P41235 Q5TKA1
Q07020 P82673
Q99442 Q9H2M9
Q96K76 Q14738
A6NJ78 P51398
Q13291 Q14517
Q9Y294 Q15813
P62136 Q9BQK8
Q7L8L6 Q96EY7
Q01628 O95202
Q99943 P00738
Q9Y5W5 O94888
P10275 O14672
Q9BSH4 P30038
Q99674 Q13332
Q01344 Q13683
Q14738 Q9P2J5
Q9NUM4 Q02818
Q7Z4G1 P55082
P0DPD6 Q9HC84
Q01628 O43490
P80370 Q86UT6
Q8WWF1 Q8NCH0
P61769 P27797
Q9UKF2 Q9Y5Y6
P40426 Q9H400
P00734 P05546
Q7L8L6 Q96GC5
Q6ZMH5 Q9ULF5
O43291 Q9UBX7
O00180 Q8NE86
P15151 Q86UT6
Q14790 P55210
Q15526 Q70CQ3
P98066 Q4G0X4
Q9Y5W5 Q9Y624
Q9H1K1 Q7Z6G3
P19320 O76021
O60568 Q5JST6
P10275 Q96ES7
Q7L4I2 Q96DZ9
Q9H8X2 O95297
Q9NPD3 P56282
Q9BY84 Q15185
Q9Y262 Q5JSZ5
P02751 P09211
Q8WWU7 Q14249
Q0VD86 Q10570
P11686 P05067
P27487 Q7Z739
O75147 P14625
P01137 P22102
Q9BXK5 Q9Y639
Q8TDB4 Q8N1F8
O75446 Q52LA3
O95677 Q96QK1
Q99689 Q5T3J3
P62841 O75607
Q9BTY2 Q7Z417
Q7L8L6 Q8NBM4
Q9H7H0 Q7Z7F7
Q9UNN8 Q6P6C2
P56180 Q92504
Q9NUX5 Q9Y2W1
Q92844 P48723
O00165 P42658
Q9BV44 Q9NRN9
Q96HY6 Q9H840
Q07021 Q96EY7
Q9P2M1 P98164
Q96HY6 Q15024
Q13115 P26640
Q08AM6 Q9NUB1
O60828 P62136
P11279 Q5T0W9
Q96BH3 Q5HYA8
Q9UHC1 Q9NR45
Q9Y6C2 Q5JTB6
O75604 P22413
Q14003 P26367
Q07021 Q96GC5
P10909 P00738
O43920 Q8NBX0
P03952 P05155
P23467 Q13332
Q5SGD2 Q9BY32
Q96AP0 Q96HA8
Q92540 Q8NHM5
Q9H840 Q8TF66
P62487 Q6P1J9
Q9BVS5 Q9H0R6
Q8WUK0 P55060
Q9HA82 Q9H0Q3
Q13895 Q9ULX3
Q9NPG3 Q6ZU65
P56589 P43490
P19438 O00165
Q96RS6 O14841
Q15125 Q9Y5Z9
P62841 P08865
Q8N9N5 Q86VF2
P28799 P52907
P01135 Q2TAA5
P01137 O75489
O14980 Q15437
Q9H0E3 Q5TKA1
P40259 O95258
Q01860 O15371
P46781 Q9Y2Q9
P46776 P60866
Q12888 Q15370
Q01581 Q9UMS0
Q7L5D6 P14314
Q96HY6 Q16853
Q96HA9 O96011
O95433 P60866
P43897 P38646
O75838 Q8N9N5
O43169 O95470
Q8TBE3 Q96S97
Q07020 Q9BW61
P50222 Q96DZ9
Q2TAZ0 Q07820
Q7Z417 O95985
O00555 Q9NS15
Q8NBP7 O14967
Q9UIR0 Q16585
Q29980 Q13505
O75807 Q12931
P04183 Q5TA45
P55854 P30533
Q96KR7 Q9H3G5
O15547 P00734
Q96JK9 P46531
O15234 Q14790
Q13868 Q9NQT5
Q6ZMB5 Q9GZP9
Q9UQV4 A6NJ78
Q9NQ30 Q16656
Q7L8L6 Q53R41
Q8NC24 Q7Z5W3
P14859 P78424
O60704 Q9BRR6
P62906 Q02878
Q86X60 P32242
P03372 Q9NRR4
Q8TDN1 Q5SNT2
Q5TBB1 Q9ULF5
Q96CF2 P14625
Q9H1D9 P28799
Q14790 Q13309
P10276 Q92844
P17735 P15104
O95147 P82673
P02751 Q13442
P12955 P00966
P06748 Q9Y4W2
P05067 Q9UJV8
P27695 O60725
Q02083 Q8NBL1
P46087 Q15361
Q8N386 Q9NS69
Q8N878 Q96DA0
Q8N2G4 Q9Y219
Q9BXB1 Q9H7B2
Q9Y639 Q9HC21
P05067 O95390
P03372 P39060
P46531 Q93009
Q9UIR0 O94985
P04150 Q96L50
O15503 P98160
Q53F39 Q9UKY4
P03372 P09132
P23280 Q8NBP7
P08034 Q9NX14
P16871 A8MVW0
Q96RU2 Q70EK9
Q9HCN8 Q14703
P62277 P60866
P56589 Q15043
Q5VX71 Q8NBL1
Q9Y676 P82663
P38646 Q6ULP2
Q53FT3 P05067
P19320 Q9Y520
Q9UBL9 Q9H5Q4
Q8N5N7 Q99988
Q8TB96 P60891
P62277 P61927
O75607 Q9H4L4
P03372 P06396
Q9UGI6 Q7Z2K6
Q8WUK0 P23786
Q9Y2P8 Q6PCB8
Q9UK23 P27797
Q9NQX5 Q5BVD1
P55916 Q9Y3I0
Q9NQC7 O95573
O00206 Q96RL6
Q68CR7 P05067
P22459 O00411
Q01151 Q8TCT0
O43521 Q8IX05
Q6NVV3 O60779
Q8WTR2 Q16643
P28799 P50222
Q96HY6 P98153
P11511 Q8NBM4
Q969L2 P55212
Q92558 Q5JVL4
Q8N9N5 Q9UIG4
Q99665 P42701
Q9NZJ7 P31323
P46779 P62269
P28799 Q9P032
Q99933 Q99075
O75607 Q99848
O14980 Q76I76
P10827 P28702
Q9NRS4 Q9NWW5
Q92956 Q7L5D6
P06127 Q7Z7L7
Q07020 Q71UM5
O15118 Q8N766
Q96BY9 P02790
Q9NZQ7 P54727
Q70EL1 P32242
Q6V1X1 P0CG47
Q9UMX5 Q7KZF4
Q96AG4 P62244
Q5UIP0 Q8N5N7
Q9UMX1 Q7Z353
P11279 Q9Y5Z9
Q8WWY3 Q15459
Q01860 Q9BRK5
P05060 P60484
Q13291 Q5VU97
Q8IZJ3 P27487
P62273 P32969
O00206 P24821
Q8WXI8 Q9NQX7
P49639 Q9NP73
P55957 O14763
Q6IN84 Q9BYD1
O60356 Q96A72
P61769 P46060
P47871 Q68DH5
O76021 P62081
Q12841 Q96KR6
Q6ZMH5 P98172
P36578 P60866
Q96BP2 Q9BYD2
P36578 P08865
P22695 O75489
P50458 P13056
Q4U2R6 P46776
Q9Y6W6 P35556
P62910 P18077
Q5J8M3 Q96QK1
Q9NZQ7 P18031
P60022 P14735
O60356 O60568
Q12824 P00505
P56180 P55084
Q6IN84 Q96A35
Q6IN84 Q8N5N7
Q8IZU8 P38646
Q14627 P32189
Q2HXU8 P22413
O76024 Q03014
Q9BUN8 Q5BJD5
Q9BSH4 Q9BYD1
Q15125 Q7Z4F1
Q9UBU3 P43304
Q9BXB1 Q5SNT2
Q92824 Q7Z417
Q8NCD3 Q52LA3
Q9ULY5 P05067
Q9UQV4 P29966
P17936 Q96RS0
Q13257 Q92504
Q8NFR7 P02788
P16070 Q6P1J9
Q96FC7 O75439
Q9UBQ0 Q70Z53
Q9H2A7 P98164
O60356 P53396
Q9BX73 Q96N66
P22304 P98160
P29692 P08686
O95831 O75380
P19883 Q8NEC5
Q86UV5 Q96QK1
Q9BSH4 Q96A35
P00751 P01024
Q9BSH4 Q8N5N7
Q5BKY1 P01834
Q2HXU8 Q96FE5
Q9NQC7 Q14694
Q969N2 P21128
P51784 P08243
Q96HD1 Q5J8M3
O15205 O00400
P08865 Q15361
O60613 Q8IW75
P34741 P01137
Q5SXM2 Q92540
P61353 P08865
Q2TAL6 Q8WWY3
Q15125 Q7L5A8
P05161 Q14126
P36952 Q01581
P43308 Q9Y5R4
Q9H239 Q7KZF4
P06748 Q96QD9
Q86YD3 P27797
Q96PE5 Q9NWW5
O15205 P62841
P51398 P04150
O95178 P50222
O43493 Q14739
P04150 P48307
Q9Y279 O43278
Q8NBF2 Q9P209
P08603 P35318
P43897 Q9UNW1
O14732 P49441
P00480 Q9Y2R9
P05067 O76036
Q9ULM6 Q9NZN8
Q8IZH2 Q8ND56
P20645 P11117
O15393 Q9BTY2
Q92752 P13611
O76024 P04180
Q86YD3 Q8NBL1
Q96AK3 Q4KWH8
Q92851 Q9NYF8
O15205 Q7Z2K6
P01732 P27797
Q07820 Q16611
P10275 Q12824
Q9NRS4 P15151
Q12805 Q9NS15
O94923 P03372
Q96JM4 Q9Y6C2
Q7L3T8 P07814
P31949 Q96HA8
P29350 P21854
Q9Y5W5 Q8WVY7
Q9BQF6 Q5TGY3
P20839 Q96H78
O14931 Q6UWY0
P12830 Q14739
O75390 Q9NUB1
P38646 Q6P1A2
Q99442 Q9H490
Q07021 Q14739
O75489 Q9NX14
P55899 P23280
P12644 Q02543
Q8N196 O15355
Q07444 Q9Y561
Q5BVD1 Q8IY17
Q8N668 O60343
Q2HXU8 Q7LGC8
P55061 Q92934
P18031 Q14257
Q01344 Q9Y4K0
P13473 O15173
P12830 Q8IZH2
P40337 P20674
Q13291 O00442
Q9UHC6 P50222
Q9BXJ2 Q9BWS9
Q8N766 O76021
Q9BZM2 P41271
P50222 Q9NTM9
Q96AG4 Q9BTV4
Q93009 P54578
Q9UHF1 Q15293
Q86VU5 Q08AM6
O14980 Q9UBU7
Q8WWU7 Q96DA0
Q05925 Q5UIP0
O14980 O43633
Q86XK7 Q9UNS1
P62249 A6PVY3
Q9NP70 P98164
Q9UJ55 Q96A65
P62249 Q8IZH2
P55854 P46777
P60484 P04040
O14967 Q99835
Q9HCY8 Q9Y294
P10275 Q9H4H8
P21854 O43157
P60484 Q02543
Q96CF2 Q58FG1
O43707 P16144
O95985 P13804
Q9UJV8 Q8IZH2
Q9BU64 O43157
P18084 Q8WX93
Q8NFJ5 P13984
P55212 Q8N5Z5
O60902 P13473
P46379 P34741
Q96RS6 O94952
Q8WWF1 Q14703
P51398 P46781
O60678 P14735
P27930 Q9Y4E8
Q9NZR2 P30533
P11511 O00519
P20333 O14980
P36551 Q99689
Q9NVH0 P20674
Q6PJF5 Q8IZH2
P10275 O00165
P03372 P13498
Q5R3F8 O60343
Q9ULR3 Q9UK80
P12830 Q14126
Q9BUY7 P0CG47
Q8N6P7 P29350
Q6ZMB5 Q9NUQ2
Q5TGI0 P0CG47
O15544 Q13472
P03372 P20839
Q92540 Q9H0D6
Q99442 P37268
Q99062 P04054
Q9UBR4 P42357
Q86X29 Q9ULA0
Q03405 P50336
Q0PNE2 Q96ST2
O00193 P26641
Q96G74 P30613
Q2TAZ0 P51648
P07766 P13224
P46087 O76021
Q9Y5V3 Q9UNQ2
Q9ULK4 P46379
O95433 P07814
Q9NWT6 Q53H12
P28702 Q96S82
P12644 P62829
P27797 O15533
P03372 P13489
Q76LX8 Q6V0I7
Q8WXG6 O00220
P62906 Q71UM5
P26367 Q12824
Q15466 P37231
Q70EL1 Q9UQN3
Q8TEL6 O43633
O75489 P20674
Q9HCS5 P80723
Q9NX40 O75439
Q96AG4 Q02878
P43897 O14561
Q9HCN8 P13611
P12830 Q8WVQ1
P30203 Q9UNI6
P31314 Q9Y2R9
P12830 Q16643
Q9UF56 Q9H6P5
P14138 Q6UWY0
A2RUQ5 Q10713
P46781 P62244
Q02413 Q96P63
Q8WVJ2 Q16643
Q96S66 P55061
P78310 Q4KMP7
P38936 Q53ET0
O00754 O00602
Q07444 P28068
Q96F46 O95470
Q7KZF4 Q9BXK5
P55957 P19438
Q99943 O75635
Q9H4L4 Q08J23
Q6P587 P12694
Q9HCN8 Q7Z7M0
Q6PJF5 Q14126
P08246 P05546
Q9NRE1 O95390
Q8WVE6 Q13505
Q9NZQ7 Q08AM6
Q9HAN9 P36578
P40337 O75688
Q12841 Q86SJ6
P30050 Q02543
P04150 P39656
O94907 P27487
O76024 P46379
P02751 P06748
P55103 P09529
Q68D85 A8MVW0
P29966 Q9Y2J2
Q14108 O00411
Q9UBQ0 O15355
P60484 P62829
Q99442 Q9P0U3
O95976 Q9HD47
O60447 Q9UPU7
Q9BUN8 Q9ULE6
Q5JVS0 P82933
Q05D32 P84090
Q86T13 P98160
Q9Y5Q0 O60524
P26641 Q96KR7
P22304 O00462
Q3ZCQ8 Q92558
P32969 O96007
Q9UHP7 Q96DZ1
O15205 P14314
Q9NW97 P54803
Q9H8J5 P48645
Q8N5N7 Q15024
O15455 Q9UK17
P54578 O15145
Q6PJF5 Q8WVQ1
Q6PI48 Q15046
P12955 Q9NY33
O00567 O43159
P03372 Q13111
Q00604 Q6YHK3
Q9P032 Q9Y697
Q8NI22 Q9BXK5
Q9HBB8 Q5SWX8
P29966 Q53SF7
P01135 Q86VI4
P26842 Q96HD1
Q8TBP0 Q9UNS1
Q96QE5 Q9Y2S7
P08575 P14314
P55899 Q07812
O95602 Q9P206
Q92953 Q86WK7
Q9BVS5 Q96EY7
Q9H7H0 O43181
Q7L2J0 P82673
Q8WVJ2 Q8IWA6
Q96GX1 Q9UBM7
Q9UQV4 Q13433
Q96S82 P01730
Q07021 P01834
Q9UK80 P56915
Q9UNH5 Q8IZH2
P62917 Q9H7B2
Q8WWU7 P22735
P42701 Q8N2E2
Q9NRS4 P15586
P02751 Q9Y2Q9
O60356 Q9H6F5
P13984 O94985
Q9NZJ7 Q8TEV9
P13473 Q6ZT07
Q8NBM4 P42357
Q9BQ08 P01137
P03372 Q9Y2S7
Q6PCT2 Q9ULK4
P50222 Q9Y5V3
P62241 Q96EY7
Q9NZQ7 Q96P63
Q96PE5 O76024
Q9NZN8 P28340
P61769 Q96RW7
P19387 Q9NS69
P78310 Q92738
P11686 Q6UWL2
Q9Y6I9 Q8IY17
O43159 Q7Z7K6
Q6P5S7 Q0VAQ4
O75807 Q12824
Q7L2J0 P78346
P80723 P82970
O60760 Q96B67
P02751 Q9UNQ2
Q9H161 Q8NA54
P18077 Q5VTL8
Q86X19 Q15043
Q8IW19 P41208
Q96IK0 Q8NEW7
O15027 Q92540
Q5BKX5 Q12815
Q02543 P62241
Q9HCN8 O43278
P58062 Q7Z7L7
Q96LR2 P14735
P30050 P62829
Q14442 P04035
Q96GW9 P05067
Q6IN84 Q8N0U8
Q9NQC7 O94782
Q9NRS4 Q9NQX7
P08865 O76021
Q96K76 Q9NSD9
Q9UHD9 Q96NZ9
P05423 P62487
Q9NPL8 Q9NX14
P05067 P02675
P78560 Q5UIP0
O14561 Q9UMX5
Q6NUS6 O76024
O75147 Q06265
P02760 P02751
Q13635 Q6NUS6
O75807 Q9Y4W2
P15880 Q9UNX3
Q96BP2 O00567
Q9NUM4 Q14773
Q99608 P62081
Q9UHV2 P01834
O00567 P55081
Q8N766 Q96N66
O75390 Q7L8L6
Q12824 Q8TAQ2
Q96KC9 Q96Q05
O15205 Q8TDN6
P14770 O15118
O14980 Q9NYF8
Q8WWZ8 Q9H2X0
Q9NUM4 Q92542
Q96JC9 P05067
P11279 P41440
O60603 O15389
P19320 Q6UY14
Q86W33 Q96N66
Q9HB29 Q7L5D6
Q5TGI0 Q96QE5
P31944 P42575
Q8N9R8 P27987
P09038 P16070
Q01860 Q7L8L6
P13473 O60347
P13051 P16671
Q8IWZ6 A2RTX5
P46379 Q15517
O60939 Q86X83
Q92552 P82933
Q14108 Q9Y4W2
Q96F46 P04150
O60568 Q6AZY7
Q13332 Q9NPH3
Q96CF2 Q86WR0
Q9P0I2 Q9Y3B6
Q9UKB5 P12830
P60866 P59046
P56589 Q9NVV4
Q9BRT6 O76021
Q9UBU6 Q6IMN6
Q9NYB0 Q9NWV8
O95970 Q13309
O94985 Q4ZIN3
Q07020 P15880
Q9H3K6 Q6FI81
Q8N766 O43169
P27695 P51587
Q12931 P12694
Q9NX40 O95671
Q96SW2 P21964
P14138 P54802
Q8N386 O60725
P61927 Q9Y3B7
Q9ULY5 O95210
Q14767 Q7Z417
Q6UWM7 Q96AG3
P16455 P62244
P01127 Q5SZK8
O15205 Q8TC07
Q6P587 Q07973
Q9NUX5 P12259
Q96CF2 Q16643
P62906 P60903
Q53GS9 Q13641
P10966 A4D1S0
Q53F39 Q14393
Q5J8M3 P04003
O76021 Q96G21
Q9ULW3 P15880
Q8NBX0 Q9UHQ9
O43493 Q9H553
Q96QA5 Q15517
Q9UHF1 P49639
Q9NYB0 Q12789
Q8IYS1 P04183
A0PK05 Q6P1A2
P11686 P01893
Q7Z417 P23142
P04004 O75818
Q8TDB4 Q9HC21
Q9NVH0 P49753
P30050 Q8WZ42
P29084 Q15126
Q96L08 Q9NW97
Q9NYB0 P11086
Q9HBV2 Q68DH5
Q9Y597 Q86TI0
Q12824 Q9H6F5
P05067 P08311
P04183 P15880
O00165 P31323
P46379 Q9UHY7
Q86TC9 Q8WZ42
Q9NVH0 Q9Y399
P51580 P05067
P27930 Q14160
P16410 O75808
Q01860 P10275
O95460 Q4G176
Q6PJF5 Q96HY6
O00555 Q9BXJ1
Q9Y239 P55211
Q8N7P1 Q08188
P27487 P84996
Q8N3V7 P29692
P26641 Q5VTL8
P01031 P78424
Q6IN84 Q6L8Q7
Q9BYE2 Q9P2B2
P19387 P38646
Q15262 Q6YHK3
Q9BY76 Q8IYS1
Q9NQC7 Q02413
Q8IUZ0 P00966
P55854 P62508
Q9NQC7 P16070
P00966 Q9NY33
Q6P5W5 Q9H061
P05981 O43405
Q9UHD9 P38646
P62917 P49207
Q66K64 Q05209
Q9Y279 Q9UDX5
Q86T26 P15927
Q9NXJ5 Q96HA8
Q96QK1 Q8WZ42
P27695 P43897
P55899 Q9BZR6
P53396 O15027
Q99442 O94919
Q5W111 Q96S97
O14980 O95999
Q9HCJ1 P08865
Q9NQC7 P15880
Q96HY6 P60866
Q9NR63 Q99828
Q9BSH4 Q6L8Q7
P05161 O15027
O00165 Q8TCU4
Q96CM3 Q9BRJ2
Q68D85 O14931
Q8N441 P42357
Q7Z4N8 Q8NCF5
P11279 Q9P035
Q12888 O95453
Q8WVE6 Q6NUK1
Q9ULY5 P11717
Q5BKX5 Q53EP0
P27694 Q9NY74
Q86X19 O00400
Q9HCS5 Q12923
O14967 Q6UXM1
P43378 O95197
Q6NUS6 P18031
Q9GZY0 Q9UNX3
P10644 Q9P287
P11686 Q9Y4D7
P11831 P55211
O75319 Q9Y2R9
P12830 P19388
Q9Y2X3 P36578
P26012 Q96F86
P00749 P14543
Q7Z353 Q9H3K6
P51884 P16112
Q8NE86 Q96A35
O15499 Q96BW5
P27658 Q8ND56
Q8N436 Q3B7T1
Q8NE86 Q8N5N7
Q9UHD9 P46379
P29084 Q9Y3A5
P27487 O14735
P01137 P62277
Q9UKJ1 Q9NQX5
Q9UPM6 Q8NHM5
Q9NS69 Q99618
O15273 Q9BRR6
Q8TDQ0 O95573
Q14814 O00255
P51843 P06401
Q9BUB7 O75390
Q15293 P52849
Q02083 Q8N1F8
Q92738 Q8TF66
P29350 P61927
Q96AG4 Q16799
Q86WK6 Q13021
Q96EY7 Q9UPU7
P60866 P08865
Q9Y2X3 Q9H501
Q86WS5 Q13563
P36578 Q01780
Q8TE56 Q14393
O95602 Q9Y535
O43915 Q7Z7L7
O75607 O43422
Q8TB96 Q9Y2R9
O75147 Q9H0D6
P49639 Q9NQ30
Q9HD43 O43592
Q03431 P49639
Q969Q6 Q8WWY3
Q9HCN8 Q30201
Q2M1V0 Q8NHM5
Q6EMK4 Q9Y5L0
P27694 P27695
Q96A22 Q9P206
O43561 Q9BXK5
P06748 O75607
Q9NRQ2 P23142
P54578 Q14126
P20333 P62249
P11686 Q6UWB1
A4D1S0 Q8N441
P32418 P31949
Q9NQE7 Q02413
O14713 P05067
Q96QS3 Q8TCZ2
O14798 Q7RTT9
O75439 O95202
Q6UWN8 P05067
Q86VU5 Q96KP1
Q9P0I2 Q5J8M3
Q86T26 P55084
P62136 Q96M27
Q9P127 P62277
Q9UHF4 O14523
Q9Y639 Q9H2T7
P18887 P28340
Q9Y6H8 P36383
Q9NQC7 Q13015
P05060 P28340
P19235 P01588
P55899 O75096
P05161 O75688
A2A2Y4 Q15070
Q96RS6 Q8IV08
P02751 P00749
Q9NWT6 Q9NZJ7
P55854 P38646
Q01628 Q9UQN3
Q9Y399 P82673
Q9Y676 Q7Z4F1
Q8IUR0 P16278
Q9Y676 Q9Y2Q9
P06748 P60866
P06748 P08865
Q29980 P10589
Q13291 P34059
P47871 Q9H3D4
Q9H5J8 P06748
Q9NQQ7 P15692
O14980 Q02543
Q96AG4 Q9Y679
P09758 Q9UI10
Q9NPG4 P98172
P11117 O95873
Q8WV48 O00220
P13797 P04818
Q08AM6 P50222
Q9Y6Y9 O60603
O95400 Q9Y244
P14138 O00468
P61769 Q02878
Q9BYH1 Q13332
P20036 Q5SNT2
P27695 Q92521
P18031 P51648
P05155 P00750
Q9BUN8 Q7Z3D4
P01137 O75339
Q99608 Q09666
Q16281 Q9UBI1
P60484 P51571
P08476 P19883
O43242 Q8NI22
Q13309 Q93009
Q96LA8 Q8WXG6
Q6AZY7 Q9HCN8
O76075 O00273
Q03405 Q02083
Q16548 P05067
O14980 P62917
P06748 Q86SE8
O14737 A6NEK1
Q96B23 P42898
Q16827 Q9UBV2
P01127 Q8TDN6
Q9NQX5 Q68CR1
P78310 Q86X29
Q9BSE4 P55061
Q96S82 P62508
Q9UMF0 P20701
O15118 Q96N66
Q63HQ2 Q14118
P05067 O14594
Q92820 Q6UWY0
P11686 Q8NBZ7
Q9H013 Q9H501
Q9GZU5 O95372
O15499 Q9H1H1
P01127 Q9NQ55
Q07021 Q6P161
Q96FV9 Q14814
P49639 P01137
P21964 Q92738
O94966 P06737
Q9Y5X9 P08582
Q8N6Y1 O43731
Q96BY9 P01024
P22004 P98066
P10275 P43364
P05067 P62861
P02741 P39060
Q07020 P06702
Q9BSH4 Q5T280
Q9BXK5 Q9H2S6
Q15646 Q9H7B2
Q6UY11 Q13443
Q9BUB7 P20674
A6NJ78 Q9Y2S7
Q8WWU7 Q9GZZ8
Q96CS3 Q9UBV2
P07357 P02748
P62917 P62241
P40337 P53396
Q5VX71 Q14517
Q9NYB0 Q13155
P38936 P47897
Q9H8J5 Q13332
Q9NRS4 Q9Y305
Q96SD1 O00507
Q9NWB6 Q96ST2
P62508 O60934
P59942 P47897
Q96QE5 Q9BYD1
Q13601 Q9Y3B9
Q9UGH3 Q7Z2K6
Q86T26 Q13257
Q14802 Q9HAV4
Q8WZ55 Q15848
P20674 P05067
Q6IN84 Q9Y3B7
Q96AG4 Q96HS1
P08473 P01350
O43920 P42357
O95425 P04150
Q9NY61 Q9H6R4
P04150 Q92932
Q9NQC3 Q9BTV4
Q9BTV4 O95999
O15205 Q6ZRV2
P49207 P08865
Q96AG4 Q96AY3
Q96GX1 Q9BV10
P16070 Q96N66
Q96QE5 Q96A35
Q96QE5 Q8N5N7
Q9BRT6 Q9ULW3
Q9ULW3 P51398
P29966 Q9UBM7
Q96KR7 O14649
P55212 P0C870
P13984 P29084
Q9UIW2 P32004
Q96CF2 P36578
O95279 O14798
Q8N7P1 P0DPA2
Q7L2J0 P30049
Q9HCN8 P98160
Q9HBV2 O60487
P23921 P51688
Q8NBF2 Q13443
Q86X76 O95847
Q6P1J9 P29692
Q9NQC7 P06702
Q9Y6G3 O94966
Q9Y324 P42357
Q8TC07 P62249
Q9BYD1 Q6P161
Q8WY91 Q8IW75
Q9ULY5 Q9H2M9
Q6ZMB5 P13984
P43897 Q5VTE6
P78345 O75817
Q9UIR0 Q6UVK1
Q9H251 P01137
Q9BZI7 P09661
O43291 Q7KZF4
P26367 O43491
Q9UKD2 P46777
P19438 Q9ULQ1
P11686 O95297
Q86X76 P22695
Q9Y2G2 Q96ES7
Q02878 Q9Y2R9
P01127 Q9BRJ2
Q9NZN8 Q02878
P50458 Q8TAQ2
Q16827 Q86X29
Q8TDQ0 P37287
Q13291 O94985
O76024 P20933
P40337 P26640
Q8NI17 Q86SJ6
Q7L2J0 Q7Z739
Q9UBV2 Q9Y4L1
P29350 P17181
Q16799 Q96KR6
P40197 Q9NQC3
Q9UF56 P13804
Q9UJV8 Q8IYB3
Q99798 P24752
P04233 O43242
O15173 Q9H3K2
P49765 P98153
P49639 Q9NS15
Q86T26 P98172
Q96A22 Q13740
Q9NVS2 Q9NYK5
P49902 Q9BVI4
P03372 Q96CS3
Q969Z4 Q7Z4F1
P80370 Q9UHG3
Q13561 Q9P209
Q16827 Q92542
P27695 Q9Y3T6
P07357 Q14696
Q86VU5 P00395
Q53FE4 P28799
Q9BXY0 Q9UNX3
P05067 Q96HS1
P03372 Q8WZ42
Q8TB96 Q9H936
P10276 P25445
Q9NWT6 Q96P71
P29692 Q70Z53
P08247 Q9P032
Q9HCY8 Q9NPG3
Q5J8M3 P51511
Q10713 Q9H9J2
P03372 O95831
Q6IN84 P82673
Q8N386 Q6NXR4
P02751 Q9UKX5
Q96HY6 P07814
Q9HBL7 Q9Y4L1
Q04760 Q9BYD1
Q9Y5Q0 Q9NP73
